1.1                    1.2                          1.3                      1.4             1.5                           1.6

medida/conteo     medida/conteo			 medida/conteo          medida/conteo     medida/c1/c2/c3                    conteo

1	20	  1		    30		 1	       25	1	      0	  1	2	2	3             33 
2	20	  2		    25		 2	       12	2	      0	  2	6	3	4    	      44
3	21	  3		    17		 3	       29	3	      0	  3	7	4	3     	      40
4	24	  4		    16		 4	       21	4	      1	  4	4	6	6     	      44 
5	23	  5		    15		 5	       15	5	      2	  5	3	9	6     	      41
		  		    		 	       			      	  6	2	6	2     	      33
											  7	3	2	2     	      29
											  8	6	6	3     	      35
											  9	4	6	4     	      35
											  10	5	5	6     	      37
											  			      	      33
														      	      32
														      	      38
														      	      39
														      	      42
														      	      55 
														      	      35
														      	      33
														      	      40
														      	      44
														      	      44
														      	      34
														      	      45
														      	      93
														      	      29
														      	      32
														      	      30
														      	      41
														      	      44
														      	      37
														      	      38
														      	      32
														      	      33 
														      	      34
															      38
															      44
															      37
															      34
															      33
															      41
															      40
															      33
															      30
															      32
															      48
															      35
															      38
															      40
															      45
															      40
															      34
															      31
															      34
															      37
															      31
															      38
															      37
															      36
															      27
															      31
															      38
															      35
															      40
															      34
															      21
															      40
															      31
															      42
															      35
															      32
															      40
															      46
															      32 
															      31
															      44
															      30
															      28
															      41
															      33
															      40
															      38
															      34
															      35
															      29
															      34
															      26
															      34
															      32
															      27
															      42
															      39
															      37
															      44
															      31
															      30
															      42
															      38
															      34
															      39
															      25

														      
		
